image,question,answer
image2584,Is squamous cell carcinoma composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,yes
image2584,Is low magnification composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,no
image2585,Is there mild epithelial hyperplasia in terminal ducts?,yes
image2585,Is section from margin of amoebic ulcer mild epithelial hyperplasia in terminal ducts?,no
image2586,Are collections of histiocytes conspicuously absent?,no
image2586,Is onsumption of tobacco in india also seen in the wall?,no
image2586,Is a partly formed unerupted tooth also seen in the wall?,yes
image2586,Where is a partly formed unerupted tooth seen in?,wall
image2586,Are inflammatory changes conspicuously absent?,yes
image2587,Is sectioning of ovary composed of nests of basaloid cells infiltrating a fibrotic stroma?,no
image2587,Is tumor composed of nests of basaloid cells infiltrating a fibrotic stroma?,yes
image2587,Is acute contusions a highly characteristic artifact of sectioning?,no
image2587,Is the cleft between the tumor cells and the stroma a highly characteristic artifact of sectioning?,yes
image2588,"Is the nuclei of affected tubules soft, lobulated, yellowish and greasy?",no
image2589,Does the vesselwall show mild fatty change of liver cells?,no
image2589,Does the periphery show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,no
image2589,Does the centrilobular zone show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,yes
image2589,Does the peripheral zone show mild fatty change of liver cells?,yes
image2590,Do a gaucher cell in bone marrow contain psammoma bodies?,no
image2590,Do the cells have features of both syncytial and fibroblastic type and form whorled appearance?,yes
image2590,Do the tips of dermal papillae have features of both syncytial and fibroblastic type and form whorled appearance?,no
image2590,Do some of the whorls contain psammoma bodies?,yes
image2590,What have features of both syncytial and fibroblastic type and form whorled appearance?,cells
image2591,Does a fibrous capsule surround the neoplastic follicles?,yes
image2591,Are the necrotic cells seen?,no
image2591,Does high magnification surround the neoplastic follicles?,no
image2591,Is a fibrous capsule seen?,yes
image2592,What is cell necrosis identified by?,homogeneous
image2592,Do these cells consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,no
image2592,Does Apoptosis consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,yes
image2592,What consists of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,apoptosis 
image2592,"Is the cytoplasm identified by homogeneous, eosinophilic cytoplasm?",no
image2592,"Is cell necrosis identified by homogeneous, eosinophilic cytoplasm?",yes
image2593,"Is a myofiber distended with trypanosomes infiltrated with lymphocytes and some plasma cells,  which are spilling over into alveolar spaces?",no
image2593,"Are the thickened alveolar walls infiltrated with lymphocytes and some plasma cells,  which spill over into alveolar spaces?",yes
