image,question,answer
image1,Do carcinoid tumors form a submucosal nodule composed of tumor cells embedded in dense fibrous tissue?,yes
image1,Do the cytologic features of cis form a submucosal nodule composed of tumor cells embedded in dense fibrous tissue?,no
image1,Do neutrophils assume a salt-and-pepper pattern?,no
image1,"Does the chromatin texture,  with fine and coarse clumps,  assume a salt-and-pepper pattern?",yes
image1,Does granulomatous host response show the bland cytology that typifies neuroendocrine tumors?,no
image1,Does high magnification show the bland cytology that typifies neuroendocrine tumors?,yes
image2,Is the high-power detail of an asbestos body associated with NSAID use?,no
image2,Is the antral ulcer associated with NSAID use?,yes
image3,Are hilar lymph nodes with caseation seen left?,yes
image3,Are two helical spirochetes seen left?,no
image3,Is scarring under the pleura in the lower part of the upper lobe?,no
image3,Is the gray-white parenchymal focus under the pleura in the lower part of the upper lobe?,yes
image4,Is acute rheumatic mitral valvulitis dark congestion of the renal surface between the abscesses?,no
image4,Is there dark congestion of the renal surface between the abscesses?,yes
image4,"Is acute coronary throm-bosis studded with focal pale abscesses,  more numerous in the upper pole and middle region of the kidney?",no
image4,"Is the cortical surface studded with focal pale abscesses,  more numerous in the upper pole and middle region of the kidney?",yes
image4,Is the surrounding lung relatively unaffected?,no
image4,Is the lower pole relatively unaffected?,yes
image5,Is the interstitial vasculature presence of abundant coarse black carbon pigment in the septal walls and around the bronchiole?,no
image5,Is there presence of abundant coarse black carbon pigment in the septal walls and around the bronchiole?,yes
image6,What point to inflammation surrounding islet of Langerhans?,arrows
image6,Are clusters of pigmented hepatocytes with eosinophilic cytoplasm essentially normal?,no
image6,Are the surrounding acinar structures essentially normal?,yes
image6,"Do a few interspersed neutrophils,  much smaller in size and with compact,  lobate nuclei,  point to inflammation surrounding islet of Langerhans?",no
image7,Is this tumor composed of small cells embedded in a finely fibrillar matrix?,yes
image7,Is the late-phase reaction composed of small cells embedded in a finely fibrillar matrix?,no
image7,Is a Homer-Wright pseudorosette seen in the upper right corner?,yes
image7,Is deposition of antibody on endothelium and activation of complement seen in the upper right corner?,no
image8,Does the incised wound as well as suture track on either side show markedly dilated pelvis and calyces having irregular and ragged inner surface and containing necrotic debris and pus?,no
image8,Does sectioned surface show markedly dilated pelvis and calyces having irregular and ragged inner surface and containing necrotic debris and pus?,yes
image9,"Do iron deposits shown by a special staining process demonstrate capsular invasion that may be minimal,  as in this case,  or widespread,  with extension into local structures of the neck by contrast?",no
image9,"Do follicular carcinomas demonstrate capsular invasion that may be minimal,  as in this case,  or widespread,  with extension into local structures of the neck by contrast?",yes
image10,"Are a few interspersed neutrophils,  much smaller in size and with compact,  lobate nuclei,  evident?",no
image10,Are the bridging strands of fibrous tissues evident?,yes
image11,Are the vascular changes necrotising arteriolitis and hyperplastic intimal sclerosis or onion-skin proliferation?,yes
image11,Are numbers necrotising arteriolitis and hyperplastic intimal sclerosis or onion-skin proliferation?,no
image11,"Are the parenchymal changes tubular loss, fine interstitial fibrosis and foci of infarction necrosis?",yes
image11,"Are the bronchioles as well as the adjacent alveoli tubular loss, fine interstitial fibrosis and foci of infarction necrosis?",no
image12,Does the peripheral zone show mild fatty change of liver cells?,yes
image12,Does the cytoplasm show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,no
image12,Does the centrilobular zone show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,yes
image12,Does the pink acellular amyloid material show mild fatty change of liver cells?,no
